iter	Logloss
0	0.5781356532
1	0.4905974969
2	0.4252703904
3	0.3668758056
4	0.3310236545
5	0.2985655432
6	0.2741552901
7	0.2597341687
8	0.248545935
9	0.2380099573
10	0.2315612878
11	0.22543585
12	0.2209957449
13	0.2162531666
14	0.2134406345
15	0.2107300564
16	0.2091386561
17	0.2059770555
18	0.2044906953
19	0.2031667377
20	0.2018874436
21	0.2003246158
22	0.1991630801
23	0.1985362349
24	0.1977323049
25	0.1967697509
26	0.1962013569
27	0.1957506087
28	0.1955314012
29	0.1951070729
30	0.1948962189
31	0.1946734218
32	0.1944685179
33	0.1939847339
34	0.1939747095
35	0.1935286389
36	0.1933929938
37	0.1932335152
38	0.1930607592
39	0.1930590765
40	0.1926165208
41	0.1925385003
42	0.1924739423
43	0.1924068561
44	0.1923195146
45	0.1922971892
46	0.1921363476
47	0.1920877608
48	0.1920169643
49	0.1919979717
