iter	Passed	Remaining
0	67	3297
1	123	2971
2	140	2202
3	190	2194
4	242	2178
5	250	1837
6	259	1595
7	285	1499
8	328	1497
9	396	1587
10	404	1434
11	414	1312
12	425	1210
13	436	1122
14	445	1039
15	455	968
16	467	906
17	473	842
18	482	788
19	508	762
20	566	782
21	582	741
22	597	700
23	605	655
24	611	611
25	618	570
26	626	533
27	633	497
28	641	464
29	647	431
30	653	400
31	660	371
32	666	343
33	672	316
34	677	290
35	695	270
36	706	248
37	720	227
38	732	206
39	738	184
40	753	165
41	767	146
42	807	131
43	814	111
44	824	91
45	835	72
46	842	53
47	852	35
48	860	17
49	871	0
